time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
125774,0,0,0,14,226
125774,0,0,0,4,236
125953,0,0,0,12,228
125953,0,0,0,2,238
126329,0,0,0,4,236
126702,0,0,0,12,228
126702,0,0,0,2,238
126774,0,0,0,10,230
126774,0,0,0,0,240
127169,0,0,0,8,232
127700,0,0,0,10,230
127700,0,0,0,0,240
128061,0,0,0,2,238
128426,0,0,0,10,230
128426,0,0,0,0,240
129004,0,0,0,10,230
129004,0,0,0,0,240
129808,0,0,0,10,230
129808,0,0,0,0,240
129823,0,0,0,10,230
129823,0,0,0,9,231
129898,0,0,0,17,223
129987,0,0,0,27,213
129987,0,0,0,9,231
130021,0,0,0,17,223
130715,0,0,0,25,215
130715,0,0,0,7,233
130715,0,0,0,3,237
130715,0,0,0,1,239
130715,0,0,0,0,240
130720,0,0,0,4,236
130720,0,0,0,3,237
130720,0,0,0,2,238
130720,0,0,0,1,239
130720,0,0,0,0,240
130757,0,0,0,10,230
130757,0,0,0,8,232
130757,0,0,0,7,233
130757,0,0,0,6,234
130780,0,0,0,24,216
130780,0,0,0,0,240
130865,0,0,0,10,230
130865,0,0,0,8,232
130865,0,0,0,6,234
130865,0,0,0,4,236
130865,0,0,0,2,238
130874,0,0,0,4,236
131302,0,0,0,6,234
131355,0,0,0,8,232
131357,0,0,0,9,231
131422,0,0,0,10,230
131481,0,0,0,12,228
131767,0,0,0,22,218
132460,0,0,0,32,208
132460,0,0,0,8,232
133018,0,0,0,18,222
133867,0,0,0,28,212
133867,0,0,0,4,236
133867,0,0,0,3,237
133867,0,0,0,2,238
133867,0,0,0,1,239
133867,0,0,0,0,240
136285,0,0,0,1,239
136285,0,0,0,0,240
136648,0,0,0,2,238
136648,0,0,0,1,239
136648,0,0,0,0,240
136708,0,0,0,1,239
136708,0,0,0,0,240
136894,0,0,0,2,238
136894,0,0,0,1,239
136894,0,0,0,0,240
137085,0,0,0,1,239
137089,0,0,0,33,207
137089,0,0,0,9,231
137089,0,0,0,1,239
137206,0,0,0,3,237
137206,0,0,0,1,239
137655,0,0,0,2,238
137661,0,0,0,3,237
137672,0,0,0,4,236
138103,0,0,0,5,235
138290,0,0,0,13,227
138290,0,0,0,5,235
139491,0,0,0,13,227
140339,0,0,0,14,226
140658,0,0,0,15,225
140701,0,0,0,16,224
140701,0,0,0,0,240
141003,0,0,0,32,208
141003,0,0,0,8,232
141003,0,0,0,4,236
141003,0,0,0,0,240
141577,0,0,0,24,216
141577,0,0,0,20,220
141577,0,0,0,16,224
141577,0,0,0,12,228
141577,0,0,0,8,232
141577,0,0,0,4,236
141577,0,0,0,0,240
141612,0,0,0,2,238
141639,0,0,0,3,237
141894,0,0,0,19,221
141894,0,0,0,15,225
141894,0,0,0,11,229
141894,0,0,0,7,233
141894,0,0,0,3,237
142266,0,0,0,5,235
142266,0,0,0,1,239
143120,0,0,0,2,238
143242,0,0,0,3,237
143295,0,0,0,4,236
143295,0,0,0,0,240
143679,0,0,0,1,239
143880,0,0,0,2,238
143886,0,0,0,3,237
146339,0,0,0,1,239
147741,0,0,0,19,221
147741,0,0,0,15,225
147741,0,0,0,14,226
147892,0,0,0,16,224
150919,0,0,0,18,222
150919,0,0,0,0,240
153026,0,0,0,4,236
153026,0,0,0,2,238
153026,0,0,0,0,240
153046,0,0,0,4,236
153093,0,0,0,6,234
153093,0,0,0,0,240
153169,0,0,0,6,234
153281,0,0,0,7,233
153593,0,0,0,9,231
153633,0,0,0,13,227
153635,0,0,0,17,223
153636,0,0,0,21,219
153636,0,0,0,3,237
153638,0,0,0,7,233
153651,0,0,0,11,229
153652,0,0,0,15,225
153907,0,0,0,19,221
153907,0,0,0,1,239
153924,0,0,0,19,221
153924,0,0,0,1,239
153950,0,0,0,5,235
153960,0,0,0,9,231
153991,0,0,0,13,227
154309,0,0,0,17,223
155393,0,0,0,21,219
156521,0,0,0,39,201
156521,0,0,0,15,225
156961,0,0,0,33,207
156961,0,0,0,9,231
156991,0,0,0,27,213
156991,0,0,0,3,237
156991,0,0,0,2,238
156991,0,0,0,1,239
156991,0,0,0,0,240
157128,0,0,0,24,216
157128,0,0,0,0,240
157894,0,0,0,1,239
157894,0,0,0,0,240
158607,0,0,0,1,239
158607,0,0,0,0,240
158769,0,0,0,24,216
158769,0,0,0,0,240
159765,0,0,0,4,236
159765,0,0,0,3,237
159765,0,0,0,2,238
159765,0,0,0,1,239
159765,0,0,0,0,240
163510,0,0,0,24,216
163510,0,0,0,23,217
163510,0,0,0,21,219
163510,0,0,0,20,220
163510,0,0,0,19,221
163510,0,0,0,18,222
163510,0,0,0,17,223
163510,0,0,0,16,224
163571,0,0,0,17,223
164249,0,0,0,16,224
164259,0,0,0,15,225
164272,0,0,0,14,226
164282,0,0,0,13,227
164282,0,0,0,14,226
164292,0,0,0,13,227
164372,0,0,0,14,226
164494,0,0,0,15,225
165612,0,0,0,16,224
165907,0,0,0,17,223
166831,0,0,0,18,222
167051,0,0,0,19,221
167065,0,0,0,17,223
167268,0,0,0,18,222
167410,0,0,0,42,198
167410,0,0,0,10,230
168479,0,0,0,12,228
168592,0,0,0,44,196
168592,0,0,0,8,232
168592,0,0,0,6,234
170157,0,0,0,7,233
170375,0,0,0,8,232
170407,0,0,0,9,231
170523,0,0,0,10,230
170553,0,0,0,11,229
170723,0,0,0,12,228
171051,0,0,0,13,227
171306,0,0,0,12,228
171316,0,0,0,11,229
171326,0,0,0,10,230
171327,0,0,0,11,229
171335,0,0,0,12,228
171336,0,0,0,11,229
171346,0,0,0,10,230
171537,0,0,0,11,229
171719,0,0,0,12,228
174911,0,0,0,14,226
175135,0,0,0,6,234
175725,0,0,0,14,226
176931,0,0,0,15,225
177401,0,0,0,16,224
177624,0,0,0,17,223
178245,0,0,0,18,222
178358,0,0,0,17,223
178368,0,0,0,16,224
178378,0,0,0,15,225
178391,0,0,0,14,226
178401,0,0,0,13,227
178531,0,0,0,14,226
179005,0,0,0,15,225
179710,0,0,0,51,189
179710,0,0,0,15,225
182682,0,0,0,39,201
182682,0,0,0,3,237
183169,0,0,0,27,213
183169,0,0,0,11,229
183232,0,0,0,13,227
183473,0,0,0,37,203
183473,0,0,0,1,239
183534,0,0,0,25,215
183534,0,0,0,23,217
184069,0,0,0,39,201
184069,0,0,0,3,237
